orbital_period,transit_depth,radius_ratio,stellar_radius,stellar_mass,signal_to_noise,duration_hours,is_planet
2.85188338,0.0001149,0.010188,,,10.1,2.666,1.0
24.669192732,0.0073823000000000005,0.076351,,,603.0,7.03515,1.0
3.044770796,0.001695,0.298444,,,203.5,10.0134,0.0
3.855603916,0.0166527,0.119176,,,1173.9,3.2179,1.0
3.855599139,0.0010309000000000002,0.033907,,,90.1,3.183,0.0
8.360616221,0.0280663,0.151129,,,425.6,7.5385,0.0
1.838514968,0.0027216999999999996,0.047309,,,63.7,2.7391,0.0
3.504691252,0.0003151,0.017643,,,67.5,1.9811,1.0
35.61760233,0.0046349,0.060738,,,155.0,8.4559,1.0
30.6113932,0.003472,0.337572,,,37.5,3.576,0.0
7.40742502,0.000442,0.01917,,,23.1,3.675,1.0
569.934135,0.018904,0.173539,,,66.7,4.1904,0.0
9.95639775,0.0005105,0.244849,,,32.9,5.615,0.0
6.50327035,0.00041830000000000003,0.018135,,,19.0,2.591,1.0
4.09667624,0.00030230000000000003,0.01546,,,16.2,2.19,1.0
1.196548464,0.00022459999999999998,0.013587,,,16.5,1.2592,1.0
7.33685101,0.0003258,0.016434,,,21.6,3.548,1.0
2.97136658,0.0002333,0.013899,,,25.6,2.716,1.0
158.6850022,0.0008983,0.027275,,,97.4,11.5372,1.0
2.936527336,0.0003523,0.01755,,,34.7,1.771,1.0
8.01500821,0.000363,0.018282,,,28.6,3.0137,1.0
0.933749941,0.0004153,0.24661,,,88.8,6.606,0.0
7.053934488,0.0005115,0.025075,,,56.3,1.7244,1.0
4.29263699,6.14e-05,0.007235,,,11.4,2.7,1.0
85.34092607,0.0517462,12.009302,,,898.4,10.6141,0.0
0.782045734,0.016185,0.41463,,,272.3,1.7945,0.0
0.576078683,0.0100848,0.260658,,,426.0,1.63253,0.0
0.885747456,0.0008952000000000001,0.237819,,,203.6,4.4788,0.0
3.611541977,0.0029723,0.320559,,,167.1,8.6068,0.0
78.9257421,0.017972,0.123557,,,85.2,7.5193,0.0
1.433769925,0.0019763,0.318591,,,112.6,1.8868,0.0
10.31872301,0.0008717,0.247006,,,38.2,3.836,0.0
2.539183147,0.0003821,0.017724,,,38.9,2.4282,1.0
